Hola!	Hallo!
Buenos dias!	Guten Morgen! Guten Tag!
Buenas tardes!	Guten Tag! (Nachmittag)
Buenas noches!	Guten Abend! Gute Nacht!
Qué tal?	Wie geht's?
Como estás? 	Wie geht's?
Estoy bien, gracias	Mie geht es gut, danke
muy	sehr
muy mal	sehr schlecht
mejor	besser
Gracias	Danke
Y tu?	Und du?
tambien	auch
Como te llamas?	Wie heißt du?
Me llamo Pablo	Ich heiße Pablo
Yo soy Pablo	Ich bin Pablo
Mi nombre es Pablo	Mein Name ist Pablo
De donde eres?	Woher kommst du?
Soy de Alemania	Ich komme aus Deutschland
Soy de Madrid	Ich komme aus Madrid
Cuantos años tienes?	Wie alt bist du?
Tengo once años	Ich bin 11 Jahre alt
Adios!	Auf Wiedersehen!; Tschüs!
Hasta luego!	Bis später!
Como es tu apellido?	Wie ist dein Nachname?
el apellido	der Nachname
de acuerdo	alles klar
negro	schwarz
blanco	weiß
naranja	orange
gris	grau
pink	rosa
azul	blau
verde	grün
marrón	braun
amarillo	gelb
rojo	rot
el perro	der Hund
el gato	die Katze
el elefante	der Elefant
el oso	der Bär
el caballo	das Pferd
el burro	der Esel
la abeja	die Biene
la tarantula	die Vogelspinne
el mono	der Affe
la rana	der Frosch
la vaca	die Kuh
la oveja	das Schaf
mi perro	mein Hund
el móvil	das Handy
el teléfono	das Telefon
la ciudad	die Stadt
el mundo	die Welt
el colegio	die Schule
la madre	die Mutter
el padre	der Vater
los padres	die Eltern
el hermano	der Bruder
la hermana	die Schwester
los hermanos	die Geschwister
el amigo	der Freund
mi amigo	mein Freund
mi amigo se llama Ben	mein Freund heisst Ben
la amiga	die Freundin
la mascota	das Haustier
mi mascota se llama Tigo	mein Haustier heisst Tigo
tu	dein / deine
Como se llama tu mascota?	Wie heisst Dein Haustier?
hablar	sprechen, reden
el alemán	Deutsch, die deutsche Sprache
el inglés	Englisch, die englische Sprache
el español	Spanisch, die spanische Sprache
entonces	dann
también	auch
pero	aber
donde	wo
cuándo	wann
quién	wer
por qué	warum
seguro	sicher
en casa	zu Hause
Claro!	Ja, natürlich!
pero	aber
además	außerdem
ahora	jetzt
estudiar	lernen
con	mit
siempre	immer
Qué?	Was für ein? Was?
nada	nichts
la mochila	der Rucksack
los zapatos	die Schuhe
el juego	das Spiel
el barco	das Schiff
el hotel	das Hotel
el restaurante	das Restaurant
el museo	das Museum
la casa	das Haus
el número	die Nummer, die Zahl
las nubes	die Wolken
la isla	die Insel
tener	haben
Quién?	Wer?
el profesor / la profesora	der Lehrer / die Lehrerin
trabajar	arbeiten
en	in, auf, an
Se escribe...	Man schreibt ...
Como se escribe...?	Wie schreibt man...?
con acento	mit Akzent
con dos puntos	mit Umlaut
quizás	vielleicht
el idioma	die Sprache
escuchar algo	etw. hören
contestar	antworten
preguntar	fragen
el chico / la chica	der Junge / das Mädchen
Adelante!	Herein!
Qué pasa?	Was ist los?
el problema	das Problem
buscar algo	etw. suchen
nuevo	neu
largo	lang
genial	großartig
diferente	anders
importante	wichtig
malo	schlecht
divertido	lustig
serio	ernst
fuerte	stark
fácil	einfach
difícil	schwierig
pobre	arm
rico	reich
ahora	jetzt
hoy	heute
mañana	morgen
ayer	gestern
el segundo	die Sekunde
el minuto	die Minute
la hora	die Stunde, die Uhrzeit
el dia	der Tag
la semana	die Woche
el mes	der Monat
el año	das Jahr
temprano	früh
tarde	spät
lunes	Montag
martes	Dienstag
miércoles	Mittwoch
jueves	Donnerstag
viernes	Freitag
sábado	Samstag
domingo	Sonntag
la primavera	der Frühling
el verano	der Sommer
el otoño	der Herbst
el invierno	der Winter
enero	Januar
febrero	Februar
marzo	März
abril	April
mayo	Mai
junio	Juni
julio	Juli
agosto	August
septiembre	September
octubre	Oktober
noviembre	November
diciembre	Dezember
el tiempo	die Zeit
¿Qué hora es?	Wie spät ist es?
uno	eins
dos	zwei
tres	drei
cuatro	vier
cinco	fünf
seis	sechs
siete	sieben
ocho	acht
nueve	neun
diez	zehn
once	elf
doce	zwölf
trece	dreizehn
catorce	vierzehn
quince	fünfzehn
dieciséis	sechszehn
diecisiete	siebzehn
dieciocho	achtzehn
diecinueve	neunzehn
veinte	zwanzig
treinta	dreißig
cuarenta	vierzig
cincuenta	fünfzig
sesenta	sechzig
setenta	siebzig
ochenta	achtzig
noventa	neunzig
cien	hundert
doscientos	zweihundert
mil	tausend
millón	Million
lindo/linda	schön
feo	hässlich
alto	hoch
pequeño/pequeña	klein
grande	groß
viejo	alt
joven	jung
amable	freundlich, nett
divertido	lustig
malo	böse, gemein
simpático	sympathisch
el secreto	das Geheimnis
la idea	die Idee
la sorpresa	die Überraschung
