infinitive	de	yo	tu	él	nosotros	vosotros	ellos
estar	sein, sich befinden	estoy	estás	está	estamos	estáis	están
ser	sein	soy	eres	es	somos	sois	son
tener	haben	tengo	tienes	tiene	tenemos	tenéis	tienen
hablar	sprechen	hablo	hablas	habla	hablamos	habláis	hablan
escuchar	hören	escucho	escuchas	escucha	escuchamos	escucháis	escuchan
buscar	suchen	busco	buscas	busca	buscamos	buscáis	buscan
trabajar	arbeiten	trabajo	trabajas	trabaja	trabajamos	trabajáis	trabajan
tocar	berühren, spielen (Instrument)	toco	tocas	toca	tocamos	tocáis	tocan
estudiar	lernen, üben	estudio	estudias	estudia	estudiamos	estudiáis	estudian
grabar (algo)	(etwas) filmen, aufnehmen	grabo	grabas	graba	grabamos	grabáis	graban
practicar (algo)	(etwas) ausüben	practico	practicas	practica	practicamos	practicáis	practican
mirar (algo)	(etwas) schauen, ansehen	miro	miras	mira	miramos	miráis	miran
quedar	sich verabreden, sich treffen	quedo	quedas	queda	quedamos	quedáis	quedan
